question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
Aglianico is most associated with…,Sicily/Sardinia,Campania/Basilicata,Piedmont/Lombardy,Sauternes,B,Close! Swirl the glass and give it another go.,Grapes
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s favorite sound in a quiet room?,A cork sighing,An ice cube clink,A microwave beep,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine has highest typical tannin?,Beaujolais Nouveau,Muscadet,Barolo,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does decanting an old red help with?,Sediment separation,Adding sugar,Raising alcohol,Muscadet,A,Close! Swirl the glass and give it another go.,Styles
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,Cava,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Love at first sniff smells like…,Wild strawberries,Wet dog,Tire rubber,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
What food is a friendly match with Pinot Noir?,Caramel flan,Salmon,Spicy curry,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Champagne sweetness: which is driest?,Sec,Demi-sec,Brut Nature,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Prosecco uses which production method?,Tank (Charmat),Solera system,Traditional method,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Classifications
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Best wine for a long talk at sunset?,Tequila… not wine!,Pinot Noir,Super Tuscan monster,Barolo,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,Pinot Noir,B,Close! Swirl the glass and give it another go.,Styles
Sauternes is primarily made from…,Sauvignon Gris,Gewürztraminer,Sémillon,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What’s the secret ingredient in hospitality?,A strict rulebook,A loud cork pop,A generous pour,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Pairings
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Classifications
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,Pinot Noir,C,Close! Swirl the glass and give it another go.,Classifications
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",Sherry,B,Close! Swirl the glass and give it another go.,Styles
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Alsace Grand Cru is typically…,Single-varietal whites,Red blends,Fortified dessert reds,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Which climate tends to give higher acidity?,Hot climate,Cool climate,Arid desert,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
Furmint is a key variety in…,Rioja,Tokaj,Vinho Verde,Cava,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Giuseppe’s midnight fridge raid finds…,Mulled wine,Leftover Vermentino,Warm Merlot,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What is typical of Rosé production?,Limited skin contact,No skins used at all,Full skin maceration,Muscadet,A,Close! Swirl the glass and give it another go.,Styles
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,Chianti Classico,C,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Always fortified,Always sparkling,Dry to sweet with high acidity,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,Muscadet,C,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Dry style,Rosé style,Sweet style,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Classifications
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,Port,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Beaujolais is mostly made from which grape?,Pinot Noir,Gamay,Syrah,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,Sherry,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What is typical of Rosé production?,Full skin maceration,No skins used at all,Limited skin contact,Cava,C,Close! Swirl the glass and give it another go.,Styles
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,Port,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,Muscadet,B,Close! Swirl the glass and give it another go.,Styles
Tannins in wine come mostly from…,Fermentation temperature,"Skins, seeds, and oak",Filtration,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Port,C,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,Port,B,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Malbec?,Mendoza,Burgundy,Rioja,Chianti Classico,A,Close! Swirl the glass and give it another go.,Grapes
Provence Rosé is usually…,Deep and sweet,Pale and dry,Fortified,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which country created Carmenère revival?,Uruguay,Argentina,Chile,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Sauternes is primarily made from…,Sauvignon Gris,Gewürztraminer,Sémillon,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What is the main grape in Brunello di Montalcino?,Nebbiolo,Sangiovese,Barbera,Pinot Noir,B,Close! Swirl the glass and give it another go.,Grapes
Prosecco uses which production method?,Traditional method,Solera system,Tank (Charmat),Rosé,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Giuseppe’s rule on ice in wine?,Only in Champagne,Never ever!,Do what you love,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
Best wine for a long talk at sunset?,Super Tuscan monster,Tequila… not wine!,Pinot Noir,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,Cava,C,Close! Swirl the glass and give it another go.,Styles
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Central Otago,Marlborough,Albariño,C,Close! Swirl the glass and give it another go.,Grapes
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Best wine for a long talk at sunset?,Pinot Noir,Tequila… not wine!,Super Tuscan monster,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
Which country created Carmenère revival?,Argentina,Uruguay,Chile,Cava,C,Close! Swirl the glass and give it another go.,Grapes
Vouvray is made from…,Viognier,Sauvignon Blanc,Chenin Blanc,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Where is Priorat?,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,Sherry,B,Close! Swirl the glass and give it another go.,Styles
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which region produces Chablis?,Rhone,Burgundy,Loire Valley,Cava,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"For beach days, Giuseppe brings…",Vintage Madeira,Albariño,Hot mulled wine,Barolo,B,Close! Swirl the glass and give it another go.,Pairings
What’s the secret ingredient in hospitality?,A generous pour,A strict rulebook,A loud cork pop,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Grüner Veltliner often shows…,Coconut,Coffee,White pepper,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,Albariño,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Sauternes is primarily made from…,Gewürztraminer,Sémillon,Sauvignon Gris,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Orange wine is made by…,Skin-contact white grapes,Blending red/white,Using orange fruit,Albariño,A,Close! Swirl the glass and give it another go.,Styles
Which wine has highest typical tannin?,Beaujolais Nouveau,Barolo,Muscadet,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Which region is famous for Malbec?,Rioja,Burgundy,Mendoza,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,Cava,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which grape is classic in Châteauneuf-du-Pape?,Pinotage,Grenache,Touriga Nacional,Cava,B,Close! Swirl the glass and give it another go.,Grapes
His advice for opening night nerves?,Hide the bottle,Pop a Prosecco,Decant for 6 hours,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A 40-year Port,A cheerful Chianti,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Best wine for a long talk at sunset?,Pinot Noir,Super Tuscan monster,Tequila… not wine!,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,Muscadet,C,Close! Swirl the glass and give it another go.,Regions and Appellations
What is 'botrytis' known for in wine?,Bacterial spoilage,Noble rot for sweet wines,Sparkling bubbles,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Spare tie,Corkscrew,Fondue set,Sauternes,B,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,Pinot Noir,A,Close! Swirl the glass and give it another go.,Classifications
"When the pizza comes, he says…",Open that Port!,Bring the Chianti!,Fetch the Sauternes!,Pinot Noir,B,Close! Swirl the glass and give it another go.,Pairings
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,Albariño,C,Close! Swirl the glass and give it another go.,Pairings
What does decanting an old red help with?,Raising alcohol,Adding sugar,Sediment separation,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
‘Sur lie’ aging means aging on the…,Stems,Lees (dead yeast),Grape skins,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
What flavor can oak impart?,Vanilla,Black pepper only,Lime leaf,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,Cava,C,Close! Swirl the glass and give it another go.,Classifications
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Most Lambrusco is…,Fortified rosé,Lightly sparkling red,Still white,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Where is Priorat?,"Catalonia, Spain","Puglia, Italy","Alentejo, Portugal",Port,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Vouvray is made from…,Chenin Blanc,Viognier,Sauvignon Blanc,Cava,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe say the swirl is for?,Letting aromas dance,Counting the legs,Hypnotizing your date,Cava,A,Close! Swirl the glass and give it another go.,Styles
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,Albariño,A,Close! Swirl the glass and give it another go.,Styles
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Port,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What flavor can oak impart?,Black pepper only,Vanilla,Lime leaf,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape makes Barolo?,Nebbiolo,Montepulciano,Sangiovese,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Giuseppe’s rule on ice in wine?,Never ever!,Do what you love,Only in Champagne,Port,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which region is famous for Malbec?,Burgundy,Mendoza,Rioja,Chianti Classico,B,Close! Swirl the glass and give it another go.,Grapes
Most Lambrusco is…,Lightly sparkling red,Still white,Fortified rosé,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
What food is a friendly match with Pinot Noir?,Caramel flan,Salmon,Spicy curry,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Grapes
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,Sherry,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,Cava,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Fresh flowers,Clean citrus,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Classifications
‘Sur lie’ aging means aging on the…,Lees (dead yeast),Grape skins,Stems,Port,A,Close! Swirl the glass and give it another go.,Styles
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Pairings
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,Port,B,Close! Swirl the glass and give it another go.,Grapes
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,Sauternes,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Classifications
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Grapes
What is 'carbonic maceration' known for?,High tannin whites,Fortified wines,"Juicy, low-tannin reds",Sherry,C,Close! Swirl the glass and give it another go.,Styles
His advice for opening night nerves?,Hide the bottle,Pop a Prosecco,Decant for 6 hours,Albariño,B,Close! Swirl the glass and give it another go.,Styles
What flavor can oak impart?,Vanilla,Lime leaf,Black pepper only,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,Chianti Classico,A,Close! Swirl the glass and give it another go.,Pairings
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,Barolo,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,Albariño,A,Close! Swirl the glass and give it another go.,Styles
What’s the best pairing for laughter?,Silence and spreadsheets,Good friends and good wine,Only bottled water,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Sancerre is typically made from which grape?,Chardonnay,Chenin Blanc,Sauvignon Blanc,Prosecco,C,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
Tannins in wine come mostly from…,Filtration,"Skins, seeds, and oak",Fermentation temperature,Cava,B,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
Champagne sweetness: which is driest?,Sec,Demi-sec,Brut Nature,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What food is a friendly match with Pinot Noir?,Spicy curry,Salmon,Caramel flan,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which wine is typically un-oaked?,Reserva Rioja,Napa Chardonnay,Muscadet,Port,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Mulled wine,Leftover Vermentino,Warm Merlot,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Pairings
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,Muscadet,A,Close! Swirl the glass and give it another go.,Styles
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,Sherry,A,Close! Swirl the glass and give it another go.,Pairings
Albariño is a specialty of which Spanish region?,Rías Baixas,Ribera del Duero,Priorat,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Rosé style,Sweet style,Dry style,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Port,B,Not quite—Giuseppe says take another sip and try again.,Styles
Most Lambrusco is…,Lightly sparkling red,Still white,Fortified rosé,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,Sherry,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Which climate tends to give higher acidity?,Cool climate,Arid desert,Hot climate,Port,A,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Wild strawberries,Wet dog,Tire rubber,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What style is Vinho Verde usually known for?,Fortified dessert wines,"Heavy, oaky reds","Light, crisp whites",Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which region produces Chablis?,Rhone,Burgundy,Loire Valley,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Sherry can be biologically aged under…,Flor,Lees,Botrytis,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Which grape makes Barolo?,Montepulciano,Sangiovese,Nebbiolo,Sherry,C,Close! Swirl the glass and give it another go.,Regions and Appellations
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
"If pasta is al dente, wine should be…",Boiling hot,Al dente in spirit: lively,Flat and sleepy,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Sherry can be biologically aged under…,Flor,Lees,Botrytis,Chianti Classico,A,Close! Swirl the glass and give it another go.,Styles
What does decanting an old red help with?,Adding sugar,Raising alcohol,Sediment separation,Albariño,C,Close! Swirl the glass and give it another go.,Styles
Furmint is a key variety in…,Vinho Verde,Tokaj,Rioja,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which climate tends to give higher acidity?,Cool climate,Arid desert,Hot climate,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
Sancerre is typically made from which grape?,Chenin Blanc,Sauvignon Blanc,Chardonnay,Prosecco,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,Cava,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What does 'riserva' (Italy) generally signal?,Lower alcohol,Higher sweetness,Longer aging,Port,C,Close! Swirl the glass and give it another go.,Styles
Orange wine is made by…,Using orange fruit,Skin-contact white grapes,Blending red/white,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
Aglianico is most associated with…,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,Pinot Noir,C,Close! Swirl the glass and give it another go.,Grapes
Best wine for a long talk at sunset?,Tequila… not wine!,Pinot Noir,Super Tuscan monster,Sherry,B,Close! Swirl the glass and give it another go.,Styles
Grüner Veltliner often shows…,White pepper,Coconut,Coffee,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Grapes
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Cava,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Rosé,C,Close! Swirl the glass and give it another go.,Styles
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Pinot Noir,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Which country created Carmenère revival?,Uruguay,Argentina,Chile,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Furmint is a key variety in…,Rioja,Tokaj,Vinho Verde,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Sauternes,B,Close! Swirl the glass and give it another go.,Pairings
Sancerre is typically made from which grape?,Chardonnay,Sauvignon Blanc,Chenin Blanc,Barolo,B,Close! Swirl the glass and give it another go.,Grapes
What does 'Brut' indicate on sparkling wine?,Rosé style,Dry style,Sweet style,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Classifications
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Grapes
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which toast wins Giuseppe’s heart?,Skål!,Prozit!,Salute!,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Pairings
The wine for dancing in the kitchen?,Lambrusco,Amontillado,Barolo,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Pairings
"For beach days, Giuseppe brings…",Vintage Madeira,Hot mulled wine,Albariño,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Sancerre is typically made from which grape?,Chenin Blanc,Chardonnay,Sauvignon Blanc,Chianti Classico,C,Close! Swirl the glass and give it another go.,Grapes
What does decanting an old red help with?,Adding sugar,Raising alcohol,Sediment separation,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,Rosé,A,Close! Swirl the glass and give it another go.,Pairings
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,Pinot Noir,A,Close! Swirl the glass and give it another go.,Classifications
Grüner Veltliner often shows…,White pepper,Coconut,Coffee,Port,A,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s travel essential?,Corkscrew,Spare tie,Fondue set,Port,A,Close! Swirl the glass and give it another go.,Styles
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,Cava,A,Close! Swirl the glass and give it another go.,Pairings
Tannins in wine come mostly from…,Fermentation temperature,Filtration,"Skins, seeds, and oak",Cava,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Which toast wins Giuseppe’s heart?,Salute!,Skål!,Prozit!,Cava,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
Prosecco uses which production method?,Solera system,Traditional method,Tank (Charmat),Port,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Giuseppe’s cure for a dreary day?,A flat cola,A bright rosé,A burnt espresso,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
What does decanting an old red help with?,Raising alcohol,Sediment separation,Adding sugar,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,Cava,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What’s the secret ingredient in hospitality?,A strict rulebook,A loud cork pop,A generous pour,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
Which wine has highest typical tannin?,Muscadet,Barolo,Beaujolais Nouveau,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Boiling hot,Flat and sleepy,Port,A,Not quite—Giuseppe says take another sip and try again.,Pairings
