level,category,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Somm 2,Food Pairing,Roast lamb pairs best with?,Pinot Grigio,Sancerre,Moscato,Bordeaux blend,D,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 2,Sparkling & Fortified,Sherry is fortified with?,Rum,Whiskey,Vodka,Brandy,D,Brandy is correct because it best represents the topic of sparkling & fortified.
Somm 2,Wine Law & Labels,'Estate Bottled' means?,Imported,Organic only,Bulk blend,Grown and bottled on property,D,Grown and bottled on property is correct because it best represents the topic of wine law & labels.
Somm 2,Winemaking & Aging,'Sur lie' aging means aging on?,Skins,Pips,Dead yeast cells,Stems,C,Dead yeast cells is correct because it best represents the topic of winemaking & aging.
Somm 2,Service & Storage,"When decanting an old wine, the goal is?",Remove sediment,Add oxygen,Add bubbles,Warm wine,A,Remove sediment is correct because it best represents the topic of service & storage.
Somm 2,Regions & Appellations,Barolo DOCG is from which Italian region?,Tuscany,Piedmont,Lombardy,Veneto,B,Piedmont is correct because it best represents the topic of regions & appellations.
Somm 2,Regions & Appellations,In which country is Rioja located?,France,Portugal,Spain,Italy,C,Spain is correct because it best represents the topic of regions & appellations.
Somm 2,Winemaking & Aging,Malolactic fermentation mainly affects what?,Tannin,Alcohol,Color,Acidity,D,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 2,Service & Storage,"When decanting an old wine, the goal is?",Add bubbles,Warm wine,Add oxygen,Remove sediment,D,Remove sediment is correct because it best represents the topic of service & storage.
Somm 2,Grapes & Styles,"When someone calls a wine 'buttery', which grape might it be?",Chardonnay,Sauvignon Blanc,Pinot Gris,Viognier,A,Chardonnay is correct because it best represents the topic of grapes & styles.
Somm 2,Sparkling & Fortified,Sherry is fortified with?,Vodka,Rum,Whiskey,Brandy,D,Brandy is correct because it best represents the topic of sparkling & fortified.
Somm 2,Tasting & Sensory,Legs on glass show?,Alcohol/sugar content,Color,Acidity,Tannin,A,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 2,Sparkling & Fortified,Port wine originates from?,France,Italy,Portugal,Spain,C,Portugal is correct because it best represents the topic of sparkling & fortified.
Somm 2,Grapes & Styles,Which grape is the backbone of Chianti?,Barbera,Dolcetto,Nebbiolo,Sangiovese,D,Sangiovese is correct because it best represents the topic of grapes & styles.
Somm 2,Regions & Appellations,Napa Valley is best known for which grape?,Pinot Noir,Cabernet Sauvignon,Merlot,Zinfandel,B,Cabernet Sauvignon is correct because it best represents the topic of regions & appellations.
Somm 2,Regions & Appellations,In which country is Rioja located?,Spain,Italy,France,Portugal,A,Spain is correct because it best represents the topic of regions & appellations.
Somm 2,Food Pairing,Roast lamb pairs best with?,Moscato,Sancerre,Pinot Grigio,Bordeaux blend,D,Bordeaux blend is correct because it best represents the topic of food pairing.
Somm 2,Sparkling & Fortified,Champagne gets bubbles from?,Still fermentation,Secondary fermentation,CO2 injection,Yeast addition only,B,Secondary fermentation is correct because it best represents the topic of sparkling & fortified.
Somm 2,Regions & Appellations,Barolo DOCG is from which Italian region?,Piedmont,Veneto,Tuscany,Lombardy,A,Piedmont is correct because it best represents the topic of regions & appellations.
Somm 2,Tasting & Sensory,Legs on glass show?,Tannin,Color,Alcohol/sugar content,Acidity,C,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 2,Tasting & Sensory,Legs on glass show?,Alcohol/sugar content,Acidity,Color,Tannin,A,Alcohol/sugar content is correct because it best represents the topic of tasting & sensory.
Somm 2,Sparkling & Fortified,Sherry is fortified with?,Whiskey,Vodka,Rum,Brandy,D,Brandy is correct because it best represents the topic of sparkling & fortified.
Somm 2,Winemaking & Aging,Malolactic fermentation mainly affects what?,Alcohol,Color,Acidity,Tannin,C,Acidity is correct because it best represents the topic of winemaking & aging.
Somm 2,Grapes & Styles,"When someone calls a wine 'buttery', which grape might it be?",Viognier,Chardonnay,Sauvignon Blanc,Pinot Gris,B,Chardonnay is correct because it best represents the topic of grapes & styles.
Somm 2,Tasting & Sensory,High acidity gives?,Softness,Sweetness,Bitterness,Freshness and crispness,D,Freshness and crispness is correct because it best represents the topic of tasting & sensory.
Somm 2,Grapes & Styles,Which grape is the backbone of Chianti?,Dolcetto,Sangiovese,Nebbiolo,Barbera,B,Sangiovese is correct because it best represents the topic of grapes & styles.
Somm 2,Regions & Appellations,In which country is Rioja located?,Spain,France,Portugal,Italy,A,Spain is correct because it best represents the topic of regions & appellations.
Somm 2,Service & Storage,Champagne should be served at?,7°C (45°F),10°C,16°C,20°C,A,7°C (45°F) is correct because it best represents the topic of service & storage.
Somm 2,Regions & Appellations,Napa Valley is best known for which grape?,Merlot,Zinfandel,Cabernet Sauvignon,Pinot Noir,C,Cabernet Sauvignon is correct because it best represents the topic of regions & appellations.
Somm 2,Winemaking & Aging,'Sur lie' aging means aging on?,Pips,Stems,Skins,Dead yeast cells,D,Dead yeast cells is correct because it best represents the topic of winemaking & aging.
Somm 2,Tasting & Sensory,High acidity gives?,Sweetness,Bitterness,Softness,Freshness and crispness,D,Freshness and crispness is correct because it best represents the topic of tasting & sensory.
Somm 2,Grapes & Styles,"A bold, tannic red from Argentina is likely made from?",Tempranillo,Cabernet Franc,Syrah,Malbec,D,Malbec is correct because it best represents the topic of grapes & styles.
Somm 2,Sparkling & Fortified,Sherry is fortified with?,Vodka,Whiskey,Brandy,Rum,C,Brandy is correct because it best represents the topic of sparkling & fortified.
Somm 2,Tasting & Sensory,A 'tannic' wine feels?,Oily,Acidic,Drying on gums,Sweet,C,Drying on gums is correct because it best represents the topic of tasting & sensory.
